,paste your data here:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
T,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,,,,
83,12856.6318359375,10076.0107421875,9368.248046875,12074.0048828125,14344.423828125,12637.5693359375,12400.34765625,14426.4638671875,14381.2900390625,12965.1904296875,17332.3125,15477.21484375,,,,
84,11746.095703125,9756.84765625,8551.75,11109.53125,13031.701171875,11767.974609375,11384.88671875,13495.3642578125,12970.3681640625,11748.759765625,15969.5322265625,14493.51171875,,,,
85,10790.59765625,8380.83203125,7557.3134765625,9869.900390625,11682.9677734375,10470.90625,10253.7646484375,12342.76171875,11951.2373046875,10590.3583984375,14938.9267578125,13506.15625,,,,
86,9766.185546875,7490.85791015625,6530.26806640625,8707.21484375,10741.29296875,9724.6171875,9324.435546875,10998.201171875,10793.998046875,9744.640625,13630.7958984375,12655.1025390625,,,,
87,8888.953125,6744.494140625,5743.20849609375,8022.31787109375,9663.2373046875,8605.607421875,8480.767578125,9998.751953125,9732.6015625,8738.9912109375,12399.4423828125,11808.8232421875,,,,
88,7872.7763671875,5752.2626953125,5195.7119140625,6726.30859375,8811.12109375,7873.0576171875,7604.6435546875,9087.55859375,8959.4130859375,7991.4228515625,11251.7607421875,10789.03515625,,,,
89,6956.095703125,5082.3466796875,4218.177734375,6233.23974609375,7702.580078125,7091.59814453125,6907.2900390625,8171.27587890625,7859.775390625,7090.43408203125,10489.1103515625,9694.6337890625,,,,
90,6386.9013671875,3851.58740234375,3135.73876953125,5342.62109375,6880.75,6084.38916015625,5877.77392578125,7409.66064453125,6971.1328125,6404.83740234375,9515.890625,9260.453125,,,,
91,5530.087890625,3103.20703125,2765.80712890625,4662.41796875,5877.65966796875,5357.986328125,5300.8828125,6472.68994140625,6519.931640625,7987.77001953125,8443.4541015625,8267.435546875,,,,
92,4693.48828125,2816.6640625,2121.26245117188,3564.5263671875,5231.4501953125,4741.46728515625,4624.5908203125,5942.73291015625,5546.546875,12721.2666015625,8168.1513671875,7733.6025390625,,,,
93,3792.33471679688,1934.39282226563,1815.837890625,3069.3720703125,4605.81640625,4035.01879882813,4065.51806640625,4997.80126953125,4716.07421875,12181.576171875,7188.009765625,7102.8740234375,,,,
94,3401.65087890625,1351.52453613281,1362.15698242188,2785.21484375,3630.76489257813,3334.78369140625,3380.55346679688,4545.4736328125,4414.7783203125,11883.9833984375,6433.3935546875,6410.66064453125,,,,
95,2713.25390625,961.646667480469,668.163024902344,1838.64013671875,3255.36865234375,2768.572265625,2751.11791992188,3883.24340820313,3522.1474609375,11542.98828125,5766.9521484375,5979.841796875,,,,
,,,,,,,,,,,,,,,,
